id,name,collectionType,completionProgress,activityList
satc1,saturday-collection-week-1,saturday-collection,0,sat1
satc2,saturday-collection-week-2,saturday-collection,0,sat2
satc3,saturday-collection-week-3,saturday-collection,0,sat3
satc4,saturday-collection-week-4,saturday-collection,0,sat4
satc5,saturday-collection-week-5,saturday-collection,0,sat5
satc6,saturday-collection-week-6,saturday-collection,0,sat6
satc7,saturday-collection-week-7,saturday-collection,0,sat7
satc8,saturday-collection-week-8,saturday-collection,0,sat8
satc9,saturday-collection-week-9,saturday-collection,0,sat9
satc10,saturday-collection-week-10,saturday-collection,0,sat10
satc11,saturday-collection-week-11,saturday-collection,0,sat11
satc12,saturday-collection-week-12,saturday-collection,0,sat12
